
"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,participant_registration,,text,"Record ID",,,,,,,,,,,,,@HIDDEN
event,participant_registration,,text,"Event Name",,,,,,,,,,,,,
auto_trainingdate,participant_registration,,text,"Auto Training Date",,,date_dmy,,,,,,,,,,@HIDDEN
ishrsafunded,participant_registration,,yesno,"Is this trainee funded through the HRSA GWEP grant?",,,,,,,,,,,,,@HIDDEN
isresident,participant_registration,,yesno,"Is this trainee a resident?",,,,,,,,,,,,,@HIDDEN
istest,participant_registration,,yesno,"Is this record a test record?",,,,,,,,,,,,,@HIDDEN
suppressdate,participant_registration,,yesno,"Suppress training date?",,,,,,,,,,,,,@HIDDEN
suppressorg,participant_registration,,yesno,"Suppress organization prompts?",,,,,,,,,,,,,@HIDDEN
suppressrole,participant_registration,,yesno,"Suppress role prompts?",,,,,,,,,,,,,@HIDDEN
suppresssfhn,participant_registration,,yesno,"Suppress SFHN prompts?",,,,,,,,,,,,,@HIDDEN
suppresseducation,participant_registration,,yesno,"Suppress education prompts?",,,,,,,,,,,,,@HIDDEN
suppressdemographics,participant_registration,,yesno,"Suppress demographic prompts?",,,,,,,,,,,,,@HIDDEN
suppressbackground,participant_registration,,yesno,"Suppress background prompts?",,,,,,,,,,,,,@HIDDEN
suppresscaretype,participant_registration,,yesno,"Suppress caretype prompts?",,,,,,,,,,,,,@HIDDEN
suppresspracticechanges,participant_registration,,yesno,"Suppress Practice Change section?",,,,,,,,,,,,,@HIDDEN
suppressimmediatepost,participant_registration,,yesno,"Suppress entire Immediate Post section?",,,,,,,,,,,,,@HIDDEN
key,participant_registration,,checkbox,"5 Keys Applicable To This Training","0,General|1,Cognition|2,Independence|3,Safety|4,Individualized goal-setting|5,Mental Health",,,,,,,,,,,,@HIDDEN
